City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,lupane,-18.9315,27.807,12.92,33,0,1.06,ZW,1721775163
274,sinabang,2.4803,96.3801,26.98,85,84,2.38,ID,1721775164
275,weno,7.4515,151.8468,26.97,94,100,0.0,FM,1721775165
276,kruisfontein,-34.0033,24.7314,11.05,83,62,3.64,ZA,1721775167
277,hashtrud,37.4779,47.0508,21.69,45,3,1.68,IR,1721775168
278,ankazobe,-18.3167,47.1167,13.76,88,75,2.54,MG,1721775169
279,barcelos,41.5388,-8.6151,21.08,54,0,1.78,PT,1721775170
280,cabo san lucas,22.8909,-109.9124,33.12,67,4,1.79,MX,1721775018
281,ain el bya,35.8039,-0.3018,25.27,63,0,1.5,DZ,1721775172
282,penzance,50.1186,-5.5371,15.38,85,100,1.88,GB,1721775173
283,port mathurin,-19.6833,63.4167,21.96,79,30,6.45,MU,1721775174
284,zouerate,22.7187,-12.4521,34.01,32,41,3.65,MR,1721775175
285,kegeyli shahar,42.7767,59.6078,27.05,41,53,3.88,UZ,1721775177
286,tainan,22.9908,120.2133,28.88,83,75,3.09,TW,1721775178
287,suntar,62.1444,117.6319,17.16,52,79,4.31,RU,1721775179
288,shimoda,34.6667,138.95,29.5,84,98,7.75,JP,1721775180
289,daru,-9.0763,143.2092,25.31,87,83,7.68,PG,1721775181
290,novoarkhanhel's'k,48.658,30.8182,18.41,64,8,3.03,UA,1721775182
291,saint-denis,48.9167,2.3333,17.91,77,0,2.57,FR,1721775183
292,gunnison,38.7,-107.0673,24.47,13,41,3.29,US,1721775184
293,xuddur,4.1213,43.8894,21.82,75,64,9.08,SO,1721775185
294,ashkasham,36.6833,71.5333,13.12,58,0,1.57,AF,1721775186
295,dogondoutchi,13.6393,4.0287,30.6,59,84,4.83,NE,1721775188
296,angul,20.85,85.1,25.91,85,100,4.14,IN,1721775189
297,emod,47.9333,20.8167,21.95,83,98,3.19,HU,1721775190
298,rio preto da eva,-2.6994,-59.6997,27.17,54,70,1.4,BR,1721775192
299,campbellton,48.0075,-66.6727,21.25,69,100,0.8,CA,1721775193
300,makokou,0.5738,12.8642,22.17,85,64,1.32,GA,1721775194
301,omutinskiy,56.4745,67.6709,12.38,94,100,5.68,RU,1721775195
302,egilsstadir,65.2653,-14.3948,12.95,67,0,2.06,IS,1721775196
303,malango,-2.9627,119.9001,19.43,98,100,0.35,ID,1721775198
304,kargasok,59.0556,80.8572,13.02,84,95,3.26,RU,1721775199
305,calama,-22.4667,-68.9333,19.27,16,0,7.72,CL,1721774659
306,holdenville,35.0804,-96.3992,32.28,41,61,2.51,US,1721775201
307,novyy urengoy,66.0833,76.6333,8.37,68,17,5.33,RU,1721775202
308,otjiwarongo,-20.4637,16.6477,12.7,17,1,3.11,NA,1721775203
309,lerwick,60.1545,-1.1494,12.0,87,2,1.91,GB,1721775204
310,molochnoye,59.2917,39.6787,14.09,68,38,2.07,RU,1721775205
311,aasiaat,68.7098,-52.8699,3.78,94,51,3.16,GL,1721775206
312,klyetsk,53.0635,26.6321,19.35,70,70,1.79,BY,1721775207
313,santiago de cuba,20.0247,-75.8219,27.06,83,75,3.6,CU,1721775209
314,korsakov,46.6328,142.7813,20.91,83,56,2.2,RU,1721775210
315,winslow,35.0242,-110.6974,37.1,12,0,2.57,US,1721775211
316,mili,6.0815,171.735,28.36,75,30,3.76,MH,1721775212
317,labrador city,52.9463,-66.9114,17.88,46,40,5.66,CA,1721775213
318,kuqa,41.7278,82.9364,27.51,28,50,1.95,CN,1721775214
319,kendari,-3.945,122.4989,23.39,91,68,0.86,ID,1721775215
320,tonning,54.3167,8.95,17.11,88,0,5.2,DE,1721775216
321,kalabo,-14.97,22.6814,14.37,22,0,2.16,ZM,1721775218
322,puerto leguizamo,-0.1934,-74.7819,22.95,94,66,0.81,CO,1721775219
323,lautoka,-17.6167,177.4667,28.92,54,75,4.63,FJ,1721775220
324,nema,57.5067,50.5011,11.02,81,59,3.06,RU,1721775221
325,ancud,-41.8697,-73.8203,9.66,87,85,6.57,CL,1721775222
326,port isabel,26.0734,-97.2086,29.45,80,22,3.13,US,1721775223
327,puerto baquerizo moreno,-0.9,-89.6,22.55,78,75,6.69,EC,1721775224
328,tual,-5.6667,132.75,25.22,87,98,7.98,ID,1721775225
329,sovetskiy,61.3614,63.5842,11.74,83,100,3.68,RU,1721775226
330,shindand,33.3029,62.1474,27.56,23,0,6.05,AF,1721775227
331,rongelap,11.1635,166.8941,28.16,73,26,6.83,MH,1721775229
332,brokopondo,4.75,-55.1667,28.61,69,9,3.11,SR,1721775230
333,shagonar,51.5333,92.8,15.98,72,100,0.43,RU,1721775231
334,moraleja,40.0162,-6.6977,31.47,24,0,1.57,ES,1721775232
335,annau,37.8876,58.516,30.72,40,0,4.12,TM,1721775233
336,soavinandriana,-19.1667,46.7333,9.98,88,6,3.18,MG,1721775234
337,tezpur,26.6333,92.8,25.5,96,100,2.59,IN,1721775235
338,san luis de la loma,17.2706,-100.8939,30.53,70,84,2.85,MX,1721775236
339,pauini,-7.7136,-66.9764,27.54,43,10,0.54,BR,1721775237
340,rawson,-43.3002,-65.1023,16.28,41,63,5.38,AR,1721775238
341,al mindak,20.1588,41.2834,26.78,52,83,1.84,SA,1721775240
342,howrah,22.5892,88.3103,28.0,94,75,2.06,IN,1721775241
343,juybar,36.6412,52.9124,24.41,76,20,1.51,IR,1721775242
344,kuantan,3.8077,103.326,26.06,94,20,1.54,MY,1721775243
345,eirunepe,-6.6603,-69.8736,28.2,47,30,0.51,BR,1721775244
346,xapuri,-10.6517,-68.5044,28.49,39,19,0.81,BR,1721775245
347,gros islet,14.0667,-60.95,29.9,79,40,5.14,LC,1721775246
348,ararat,39.8317,44.7049,24.19,44,0,3.83,AM,1721775247
349,al mayadin,35.0209,40.4535,32.97,36,0,7.53,SY,1721775250
350,aykhal,66.0,111.5,11.22,56,100,6.26,RU,1721775251
